                Time     Luminosity_Ratio     Variable_Star_DN      Variable_Sky_DN   Comparison_Star_DN    Comparison_Sky_DN 
            0.001290             2.459507         10598.864711           962.187567          4766.930143           848.796045 
            0.001300             3.154317         10573.107089           116.458632          4459.547716          1144.520402 
            0.001310             1.865643          9045.716727           177.861873          5161.412397           408.169805 
            0.001320             1.562791          9065.309610           933.500168          5713.492233           510.101627 
            0.001330             1.804321         10840.388195          1299.600208          5740.897855           453.154088 
            0.001340             2.374097         10728.446303          1104.831080          4053.590503             0.000000 
            0.001350             2.377235         10346.293527           509.720145          4137.821589             0.000000 
            0.001360             1.710476          9488.418226             0.671407          5923.886837           377.040925 
            0.001370             2.151099          9542.130802           895.718253          4019.531846             0.000000 
            0.001380             1.752919          9085.634938          1298.928800          5595.873898          1153.736991 
            0.001390             2.335733         10357.646413          1442.304758          4111.758782           294.824061 
            0.001400             3.001871         10285.439619          1351.603748          4067.567980          1091.479232 
            0.001410             2.008415         10759.147923           773.522141          4971.892453             0.000000 
            0.001420             1.886936          9839.320048           302.682577          5711.844234           657.811213 
            0.001430             1.636655         10585.985900          1645.069735          5512.619404            49.699393 
            0.001440             1.845355          9195.745720          1955.259865          4674.581133           750.953703 
            0.001450             1.964522          9135.990478           186.284982          5275.246437           719.580676 
            0.001460             2.216839         10961.302530           388.134404          5023.407697           253.929258 
            0.001470             2.614722         10502.059999          1892.757958          4453.260903          1160.634175 
            0.001480             1.808433          9111.209449          1323.831904          4645.954772           339.808344 
            0.001490             2.318039         10657.338176           367.931150          5665.700247          1226.859340 
            0.001500             2.185557         10950.804163           245.063631          4898.403882             0.000000 
            0.001510             1.972067         10291.665395           815.759758          5480.391858           675.328837 
            0.001520             3.788010         10825.922422          1262.489700          4003.784295          1479.125340 
            0.001530             2.099276          9397.412030           282.662435          5687.795648          1345.942564 
            0.001540             2.107471          9584.307382           731.345561          4200.750755             0.000000 
            0.001550             2.115612          9605.426191           649.861141          4323.984497            90.899380 
            0.001560             1.829186          9786.278878          1619.251076          4641.438032           176.595355 
            0.001570             2.480054         10270.668661           375.316630          4444.715720           454.741050 
            0.001580             3.044899         10665.822321           622.821741          4040.528581           742.225410 
            0.001590             2.630128         10308.694723           986.297189          4648.030030          1103.564562 
            0.001600             2.403229         10841.242714            35.218360          5073.213904           576.754051 
            0.001610             2.178189          9781.090732           321.054720          5348.368786          1005.294961 
            0.001620             2.533015         10776.482437           363.231300          4523.880734           412.869655 
            0.001630             2.531284          9231.696524           521.683401          4799.707022          1358.760338 
            0.001640             2.078217         10991.882076          1694.448683          5184.484390           710.730308 
            0.001650             2.175518         10772.637104           775.658437          4869.106113           273.888363 
            0.001660             1.713844         10024.933622          1814.386425          5503.036592           712.317270 
            0.001670             2.319682         10919.736320           808.374279          4560.014649           201.071200 
